timestamp,cpu_total_pct,mem_avail_mb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,gpu_clock_graphics_mhz,gpu_clock_sm_mhz
"2026-03-16T16:04:48.1881698-03:00","3,03354928381495","23342","0","1","804","12282","22.37","41","660","660"
"2026-03-16T16:04:51.1358663-03:00","8,57776364808872","23366","0","2","804","12282","5.03","41","210","210"
"2026-03-16T16:04:53.7088059-03:00","6,48471542649524","23363","0","15","803","12282","4.93","40","210","210"
"2026-03-16T16:04:56.2671610-03:00","7,30886704870493","23388","0","5","803","12282","4.77","40","210","210"
"2026-03-16T16:04:58.8316169-03:00","7,69940225399032","23382","0","3","794","12282","4.90","40","210","210"
"2026-03-16T16:05:01.4013352-03:00","6,98330183420287","23388","0","3","793","12282","4.80","40","210","210"
"2026-03-16T16:05:03.9607000-03:00","7,33869271714243","23388","0","3","793","12282","4.66","40","210","210"
"2026-03-16T16:05:06.5387370-03:00","6,15936178569485","23385","0","3","793","12282","4.71","40","210","210"
"2026-03-16T16:05:09.1043218-03:00","8,0171089361713","23386","0","3","793","12282","4.69","40","210","210"
"2026-03-16T16:05:11.6676724-03:00","7,07772967957379","23385","0","5","793","12282","4.68","40","210","210"
"2026-03-16T16:05:14.2296900-03:00","12,1161807075927","23381","0","2","792","12282","5.01","40","210","210"
"2026-03-16T16:05:16.8076846-03:00","12,9535967279579","23385","0","3","791","12282","4.73","40","210","210"
"2026-03-16T16:05:19.3591382-03:00","12,991771979599","23382","0","3","791","12282","4.71","40","210","210"
"2026-03-16T16:05:21.9146788-03:00","13,8099778996561","23380","0","5","791","12282","4.67","40","210","210"
"2026-03-16T16:05:24.4745929-03:00","25,9507312637938","23380","0","2","789","12282","4.95","40","210","210"
"2026-03-16T16:05:27.0252914-03:00","26,5617982528598","23378","0","3","789","12282","4.69","40","210","210"
"2026-03-16T16:05:29.5709486-03:00","45,6398822280023","23376","0","2","791","12282","5.04","40","210","210"
"2026-03-16T16:05:32.1540664-03:00","82,7249092853232","23372","0","3","789","12282","4.82","40","210","210"
"2026-03-16T16:05:34.7377495-03:00","8,37272105400499","23346","0","3","790","12282","4.76","40","210","210"
"2026-03-16T16:05:37.2992466-03:00","8,16789612497384","23345","0","3","790","12282","4.69","40","210","210"
"2026-03-16T16:05:39.8566854-03:00","7,48613668277975","23395","0","3","790","12282","4.66","40","210","210"
"2026-03-16T16:05:42.4097340-03:00","8,08445614154297","23394","0","3","790","12282","4.69","40","210","210"
"2026-03-16T16:05:44.9742175-03:00","8,48742251527622","23394","0","2","790","12282","4.94","40","210","210"
"2026-03-16T16:05:47.5411751-03:00","13,0953753608149","23385","0","3","789","12282","4.82","40","210","210"
"2026-03-16T16:05:50.1165192-03:00","13,1543403991473","23398","0","3","789","12282","4.67","40","210","210"
"2026-03-16T16:05:52.6789988-03:00","13,0873901988255","23387","0","2","789","12282","4.82","40","210","210"
"2026-03-16T16:05:55.2397285-03:00","22,4083735375625","23385","0","3","789","12282","4.77","40","210","210"
"2026-03-16T16:05:57.8039784-03:00","27,1493519739179","23364","0","3","789","12282","4.84","40","210","210"
"2026-03-16T16:06:00.3835597-03:00","47,8726432467968","23364","0","2","790","12282","4.91","40","210","210"
"2026-03-16T16:06:02.9665739-03:00","50,6024221151812","23361","11","4","790","12282","4.82","40","210","210"
"2026-03-16T16:06:05.5518475-03:00","100","23307","0","3","781","12282","4.78","40","210","210"
"2026-03-16T16:06:08.1213335-03:00","6,0243803153617","23360","0","0","790","12282","24.08","41","975","975"
"2026-03-16T16:06:10.6748718-03:00","7,05976201358041","23444","0","4","790","12282","5.64","40","270","270"
"2026-03-16T16:06:13.2316371-03:00","6,8419637036395","23445","0","3","790","12282","4.66","40","210","210"
"2026-03-16T16:06:15.7876582-03:00","8,71445230899671","23451","0","3","788","12282","4.93","40","210","210"
