timestamp,cpu_total_pct,mem_avail_mb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,gpu_clock_graphics_mhz,gpu_clock_sm_mhz
"2026-03-16T16:01:06.6329753-03:00","2,9590372120968","23125","0","0","790","12282","25.17","41","2490","2490"
"2026-03-16T16:01:09.5670541-03:00","7,12396545895849","23106","0","0","790","12282","5.14","40","210","210"
"2026-03-16T16:01:12.1114311-03:00","8,02098356702992","23111","0","0","790","12282","4.70","40","210","210"
"2026-03-16T16:01:14.6716756-03:00","13,0861710455514","23114","0","14","779","12282","4.97","40","210","210"
"2026-03-16T16:01:17.2451685-03:00","38,2627594897822","23091","5","30","789","12282","5.19","40","210","210"
"2026-03-16T16:01:19.7959847-03:00","7,56253544637729","23135","0","20","790","12282","5.07","40","210","210"
"2026-03-16T16:01:22.3684363-03:00","14,2246193179337","23102","0","23","790","12282","5.04","40","210","210"
"2026-03-16T16:01:24.9346919-03:00","56,6227927368057","23161","0","28","790","12282","5.08","40","210","210"
"2026-03-16T16:01:27.4869760-03:00","7,56908354315242","23484","3","2","790","12282","23.55","41","795","795"
"2026-03-16T16:01:30.0629050-03:00","7,31691103691772","23483","0","9","790","12282","4.90","40","210","210"
"2026-03-16T16:01:32.6174650-03:00","12,9974720919026","23483","0","31","785","12282","4.93","40","210","210"
"2026-03-16T16:01:35.1895977-03:00","32,1887146497775","23481","0","28","792","12282","5.12","40","210","210"
"2026-03-16T16:01:37.7493242-03:00","6,35905558442694","23462","0","14","792","12282","5.04","40","210","210"
"2026-03-16T16:01:40.2999237-03:00","13,6751258152694","23447","0","2","790","12282","4.98","40","210","210"
"2026-03-16T16:01:42.8664257-03:00","45,0576809300452","23376","0","2","791","12282","4.97","40","210","210"
"2026-03-16T16:01:45.4348390-03:00","8,25449007330588","23370","0","0","792","12282","25.17","41","2490","2490"
"2026-03-16T16:01:48.0045857-03:00","9,12457428657802","23359","0","1","792","12282","6.85","40","435","435"
"2026-03-16T16:01:50.5635678-03:00","8,58867191749184","23380","0","2","792","12282","5.00","40","210","210"
"2026-03-16T16:01:53.1289277-03:00","24,8685096678396","23376","0","2","791","12282","4.99","40","210","210"
"2026-03-16T16:01:55.7049045-03:00","7,90501297166457","23354","0","2","790","12282","4.87","40","210","210"
"2026-03-16T16:01:58.2698070-03:00","12,1083106335","23326","11","4","792","12282","4.89","40","210","210"
"2026-03-16T16:02:00.8218127-03:00","47,9062684181609","23293","2","2","790","12282","5.17","40","210","210"
"2026-03-16T16:02:03.4049459-03:00","7,7490715296713","23367","0","0","790","12282","25.43","41","2490","2490"
"2026-03-16T16:02:05.9658934-03:00","6,69409788803424","23367","0","1","790","12282","6.76","40","405","405"
"2026-03-16T16:02:08.5259261-03:00","7,08256744403689","23367","0","2","790","12282","5.02","40","210","210"
"2026-03-16T16:02:11.0895464-03:00","21,3410445020907","23362","0","2","791","12282","5.07","40","210","210"
"2026-03-16T16:02:13.6524968-03:00","15,8449579596686","23350","0","3","790","12282","4.94","40","210","210"
"2026-03-16T16:02:16.2052552-03:00","14,1507143947528","23344","0","7","790","12282","5.03","40","210","210"
"2026-03-16T16:02:18.7749849-03:00","44,3031709467293","23294","0","2","790","12282","5.11","40","210","210"
"2026-03-16T16:02:21.3517401-03:00","9,62968745507805","23292","0","0","790","12282","25.20","41","2490","2490"
