timestamp,mode,rows,cols,steps,seed,run_index,is_warmup,threads,procs,kernel,gpu,time_s,time_per_step_ms,alive_end
"2026-03-25T01:50:16","mpi","4096","4096","200","42","1","1","0","4","","","5.27934","26.3967","1245956"
"2026-03-25T01:50:19","mpi","4096","4096","200","42","1","1","0","8","","","3.09855","15.4928","1245956"
"2026-03-25T01:50:25","mixed","4096","4096","200","42","1","1","4","2","","","5.82766","29.1383","1245956"
"2026-03-25T01:50:30","mixed","4096","4096","200","42","1","1","4","4","","","4.66379","23.319","1245956"
"2026-03-25T01:50:30","cuda_basic","4096","4096","200","42","1","1","0","0","basic","NVIDIA GeForce RTX 4070","0.0448059","0.224029","1245956"
"2026-03-25T01:50:30","cuda_shared","4096","4096","200","42","1","1","0","0","shared","NVIDIA GeForce RTX 4070","0.0661766","0.330883","1245956"
"2026-03-25T01:50:45","sequential","4096","4096","200","42","2","0","0","0","","","14.4803","72.4017","1245956"
"2026-03-25T01:51:10","openmp","4096","4096","200","42","2","0","1","0","","","25.1595","125.797","1245956"
"2026-03-25T01:51:23","openmp","4096","4096","200","42","2","0","2","0","","","12.8155","64.0774","1245956"
"2026-03-25T01:51:30","openmp","4096","4096","200","42","2","0","4","0","","","6.68419","33.4209","1245956"
"2026-03-25T01:51:34","openmp","4096","4096","200","42","2","0","8","0","","","4.26711","21.3355","1245956"
"2026-03-25T01:51:38","openmp","4096","4096","200","42","2","0","16","0","","","3.56794","17.8397","1245956"
"2026-03-25T01:51:57","mpi","4096","4096","200","42","2","0","0","1","","","19.0033","95.0165","1245956"
"2026-03-25T01:52:06","mpi","4096","4096","200","42","2","0","0","2","","","9.65891","48.2946","1245956"
"2026-03-25T01:52:14","mpi","4096","4096","200","42","2","0","0","4","","","7.47079","37.3539","1245956"
"2026-03-25T01:52:17","mpi","4096","4096","200","42","2","0","0","8","","","3.00888","15.0444","1245956"
"2026-03-25T01:52:23","mixed","4096","4096","200","42","2","0","4","2","","","5.7057","28.5285","1245956"
